FR|44|08|083|Yoncq|49.56612|5.01592|PPL
FR|84|15|151|Yolet|44.9264|2.53174|PPL
FR|24|28|281|Ymorville|48.34825|1.63697|PPL
FR|24|28|281|Ymonville|48.26139|1.75116|PPL
FR|24|28|281|Ymeray|48.51003|1.70029|PPL
FR|28|76|763|Ymare|49.3506|1.17938|PPL
FR|84|03|032|Ygrande|46.55266|2.94239|PPL
FR|75|40|402|Ygos-Saint-Saturnin|43.97651|-0.7378|PPL
FR|53|22|224|Yffiniac|48.48428|-2.67647|PPL
FR|44|10|101|Yèvres-le-Petit|48.47904|4.49046|PPL
FR|24|28|282|Yèvres|48.21078|1.18717|PPL
FR|24|45|453|Yèvre-le-Châtel|48.15995|2.33297|PPL
FR|24|45|453|Yèvre-la-Ville|48.14493|2.32605|PPL
FR|32|62|625|Yeuse|50.81515|1.97782|PPL
FR|28|76|763|Yerville|49.6672|0.89594|PPL
FR|24|28|281|Yerville|48.25053|1.63229|PPL
FR|11|91|912|Yerres|48.71785|2.49338|PPL
FR|24|28|281|Yermenonville|48.55713|1.62001|PPL
FR|84|73|732|Yenne|45.7042|5.75795|PPL
FR|11|77|772|Yèbles|48.63644|2.76806|PPL
FR|28|76|762|Yébleron|49.63333|0.53746|PPL
FR|84|15|152|Ydes|45.33333|2.46667|PPL
FR|75|40|402|Ychoux|44.32869|-0.95179|PPL
FR|84|63|631|Ychamp|45.63333|3.48333|PPL
FR|32|80|801|Yaucourt-Bussus|50.10428|1.97681|PPL
FR|28|76|763|Yainville|49.45371|0.8292|PPL
FR|32|80|804|Y|49.80281|2.99099|PPL
FR|44|54|542|Xures|48.68982|6.65674|PPL
FR|44|54|542|Xousse|48.65|5.71667|PPL
FR|44|57|575|Xouaxange|48.69697|6.99726|PPL
FR|44|54|541|Xonville|49.05492|5.84917|PPL
FR|44|88|883|Xonrupt-Longemer|48.08223|6.92944|PPL
FR|44|57|572|Xocourt|48.90788|6.37849|PPL
FR|44|54|541|Xivry-Circourt|49.35484|5.76623|PPL
FR|44|55|552|Xivray-et-Marvoisin|48.86496|5.74352|PPL
FR|44|54|543|Xirocourt|48.43184|6.17408|PPL
FR|44|54|543|Xeuilley|48.566|6.09902|PPL
FR|44|88|881|Xertigny|48.04394|6.40836|PPL
FR|44|54|542|Xermaménil|48.53207|6.46218|PPL
FR|44|88|881|Xaronval|48.37566|6.18643|PPL
FR|52|85|851|Xanton-Chassenon|46.45333|-0.69524|PPL
FR|44|57|572|Xanrey|48.74934|6.58026|PPL
FR|44|88|881|Xamontarupt|48.13264|6.65195|PPL
FR|44|54|544|Xammes|48.97448|5.85473|PPL
FR|75|16|161|Xambes|45.82587|0.10569|PPL
FR|75|79|792|Xaintray|46.4931|-0.47868|PPL
FR|75|47|474|Xaintrailles|44.20596|0.25851|PPL
FR|24|36|364|Xaintes|47.05019|1.96838|PPL
FR|44|88|881|Xaffévillers|48.40902|6.61129|PPL
FR|32|59|594|Wylder|50.91015|2.49443|PPL
FR|11|95|953|Wy-dit-Joli-Village|49.1|1.83333|PPL
FR|32|59|594|Wulverdinghe|50.83137|2.25621|PPL
FR|44|57|572|Wuisse|48.85196|6.6509|PPL
FR|44|68|683|Wuenheim|47.87387|7.20643|PPL
FR|44|57|576|Woustviller|49.07636|7.00487|PPL
FR|32|59|594|Wormhout|50.88129|2.46901|PPL
FR|44|67|673|Wolxheim|48.5686|7.51199|PPL
FR|44|68|681|Wolschwiller|47.4613|7.40653|PPL
FR|44|67|674|Wolschheim|48.70286|7.45139|PPL
FR|44|67|674|Wolfskirchen|48.87928|7.07485|PPL
FR|44|67|676|Wolfisheim|48.58723|7.66708|PPL
FR|44|68|682|Wolfgantzen|48.02805|7.5004|PPL
FR|44|68|681|Wolfersdorf|47.63986|7.11239|PPL
FR|32|80|801|Woirel|49.95933|1.82302|PPL
FR|44|57|574|Woippy|49.14946|6.14909|PPL
FR|44|55|552|Woinville|48.89682|5.66138|PPL
FR|32|80|801|Woincourt|50.0663|1.53676|PPL
FR|44|55|552|Woimbey|48.97614|5.46629|PPL
FR|32|80|801|Woignarue|50.11016|1.49532|PPL
FR|44|67|677|Wœrth|48.93953|7.74279|PPL
FR|44|67|675|Wœrth|48.3892|7.63498|PPL
FR|44|67|676|Woellenheim|48.67951|7.51019|PPL
FR|44|57|576|Wœlfling-lès-Sarreguemines|49.08333|7.18333|PPL
FR|44|55|553|Woël|49.04013|5.73032|PPL
FR|32|62|625|Wizernes|50.7117|2.24316|PPL
FR|44|67|676|Wiwersheim|48.64006|7.60632|PPL
FR|44|57|576|Wittring|49.05315|7.15151|PPL
FR|44|67|675|Wittisheim|48.26341|7.58703|PPL
FR|32|62|625|Wittes|50.66998|2.39141|PPL
FR|44|67|672|Wittersheim|48.78252|7.6583|PPL
FR|44|68|681|Wittersdorf|47.62076|7.2743|PPL
FR|44|67|675|Witternheim|48.313|7.61181|PPL
FR|32|62|622|Witternesse|50.60922|2.3606|PPL
FR|44|68|684|Wittenheim|47.8078|7.33702|PPL
FR|44|68|686|Wittelsheim|47.80947|7.24154|PPL
FR|44|51|513|Witry-lès-Reims|49.29162|4.11921|PPL
FR|32|80|801|Witainéglise|49.95306|1.68333|PPL
FR|11|91|913|Wissous|48.73352|2.32338|PPL
FR|32|02|022|Wissignicourt|49.52274|3.44737|PPL
FR|44|67|677|Wissembourg|49.03708|7.94548|PPLA3
FR|32|62|623|Wissant|50.8853|1.66263|PPL
FR|32|62|625|Wisques|50.72319|2.19307|PPL
FR|32|62|625|Wismes|50.65424|2.07101|PPL
FR|44|55|553|Wiseppe|49.45563|5.1737|PPL
FR|44|88|883|Wisembach|48.25841|7.10946|PPL
FR|44|67|673|Wisches|48.50881|7.26814|PPL
FR|32|80|801|Wiry-au-Val|49.95831|1.84018|PPL
FR|32|80|801|Wiry-au-Mont|49.96291|1.8381|PPL
FR|32|62|623|Wirwignes|50.68457|1.76108|PPL
FR|44|68|683|Wintzfelden|47.97685|7.19725|PPL
FR|44|67|676|Wintzenheim-Kochersberg|48.65871|7.51431|PPL
FR|44|68|682|Wintzenheim|48.07269|7.29072|PPL
FR|44|67|677|Wintzenbach|48.93612|8.10164|PPL
FR|44|67|672|Wintershouse|48.79245|7.70073|PPL
FR|44|57|575|Wintersbourg|48.78583|7.18991|PPL
FR|32|59|594|Winnezeele|50.841|2.55118|PPL
FR|44|68|681|Winkel|47.46119|7.26397|PPL
FR|32|62|627|Wingles|50.49382|2.855|PPL
FR|44|67|676|Wingersheim|48.72149|7.63464|PPL
FR|44|67|674|Wingen-sur-Moder|48.919|7.37955|PPL
FR|44|67|677|Wingen|49.0276|7.81513|PPL
FR|44|67|672|Windstein|48.99554|7.6843|PPL
FR|32|02|025|Wimy|49.93515|3.99667|PPL
FR|44|67|674|Wimmenau|48.91155|7.42093|PPL
FR|32|62|623|Wimille|50.76418|1.63137|PPL
FR|32|62|623|Wimereux|50.76963|1.61139|PPL
FR|44|67|676|Wilwisheim|48.74821|7.50641|PPL
FR|44|67|676|Wilshausen|48.77514|7.55044|PPL
FR|32|59|591|Willies|50.1214|4.09757|PPL
FR|44|08|083|Williers|49.6669|5.30994|PPL
FR|44|67|676|Willgottheim|48.67033|7.51147|PPL
FR|44|57|576|Willerwald|49.02481|7.03726|PPL
FR|32|62|621|Willerval|50.35661|2.8445|PPL
FR|44|68|686|Willer-sur-Thur|47.84392|7.07223|PPL
FR|44|55|551|Willeroncourt|48.71704|5.36565|PPL
FR|44|68|681|Willer|47.58565|7.31996|PPL
FR|32|62|621|Willencourt|50.2412|2.08908|PPL
FR|32|59|595|Willems|50.63206|3.2384|PPL
FR|32|62|624|Willeman|50.35341|2.15859|PPL
FR|32|62|625|Willametz|50.61367|2.08964|PPL
FR|44|67|673|Wildersbach|48.43852|7.22403|PPL
FR|44|68|686|Wildenstein|47.97636|6.96166|PPL
FR|44|67|674|Wildenguth|48.94016|7.44332|PPL
FR|44|68|682|Wihr-en-Plaine|48.08272|7.40916|PPL
FR|44|68|682|Wihr-au-Val|48.05312|7.20489|PPL
FR|44|08|082|Wignicourt|49.57921|4.57921|PPL
FR|32|59|591|Wignehies|50.0155|4.00913|PPL
FR|44|57|576|Wiesviller|49.07916|7.16466|PPL
FR|32|62|623|Wierre-Effroy|50.77826|1.73716|PPL
FR|32|62|623|Wierre-au-Bois|50.64193|1.76181|PPL
FR|32|80|803|Wiencourt-l’Équipée|49.84624|2.6117|PPL
FR|32|02|025|Wiège-Faty|49.88232|3.71813|PPL
FR|44|68|682|Widensolen|48.06289|7.48057|PPL
FR|32|62|624|Widehem|50.58488|1.67267|PPL
FR|32|59|595|Wicres|50.56984|2.86452|PPL
FR|32|62|624|Wicquinghem|50.57505|1.96284|PPL
FR|44|67|676|Wickersheim-Wilshausen|48.78333|7.53333|PPL
FR|44|68|682|Wickerschwihr|48.10808|7.43452|PPL
FR|44|67|676|Wibolsheim|48.48043|7.7118|PPL
FR|44|51|513|Wez|49.17728|4.21247|PPL
FR|44|67|676|Weyersheim|48.71537|7.80097|PPL
FR|44|67|674|Weyer|48.85543|7.15876|PPL
FR|44|68|682|Wettolsheim|48.05755|7.29844|PPL
FR|32|62|622|Westrehem|50.54576|2.34534|PPL
FR|44|67|674|Westhouse-Marmoutier|48.68643|7.45088|PPL
FR|44|67|675|Westhouse|48.3965|7.58924|PPL
FR|44|67|673|Westhoffen|48.60352|7.44289|PPL
FR|44|68|683|Westhalten|47.95734|7.25999|PPL
FR|32|59|594|West-Cappel|50.92988|2.50568|PPL
FR|32|62|625|Westbécourt|50.73044|2.06222|PPL
FR|32|59|595|Wervicq-Sud|50.7745|3.04207|PPL
FR|44|68|681|Werentzhouse|47.51618|7.35775|PPL
FR|44|68|684|Wentzwiller|47.55134|7.47887|PPL
FR|32|59|594|Wemaers-Cappel|50.80788|2.44049|PPL
FR|32|60|602|Welles-Pérennes|49.6072|2.48309|PPL
FR|44|57|576|Welferding|49.11301|7.04043|PPL
FR|44|67|674|Weiterswiller|48.85386|7.41339|PPL
FR|44|67|672|Weitbruch|48.75455|7.77935|PPL
FR|44|67|674|Weislingen|48.91529|7.25152|PPL
FR|44|67|674|Weinbourg|48.87126|7.44143|PPL
FR|44|68|686|Wegscheid|47.79682|6.95598|PPL
FR|44|68|682|Weckolsheim|48.00302|7.51267|PPL
FR|32|59|593|Waziers|50.38717|3.1149|PPL
FR|32|59|595|Wavrin|50.57386|2.9363|PPL
FR|44|55|553|Wavrille|49.3278|5.38779|PPL
FR|32|59|596|Wavrechain-sous-Faulx|50.27281|3.28668|PPL
FR|32|59|596|Wavrechain-sous-Denain|50.33224|3.41252|PPL
FR|32|62|621|Wavrans-sur-Ternoise|50.41322|2.30002|PPL
FR|32|62|625|Wavrans-sur-l’Aa|50.68292|2.13778|PPL
FR|44|54|541|Waville|49.01029|5.94914|PPL
FR|32|60|602|Wavignies|49.54748|2.36032|PPL
FR|32|62|621|Wavans|50.21667|2.16667|PPL
FR|44|68|686|Wattwiller|47.83649|7.17785|PPL
FR|32|59|595|Wattrelos|50.70118|3.21812|PPL
FR|32|59|591|Wattignies-la-Victoire|50.2015|4.012|PPL
FR|32|59|595|Wattignies|50.58639|3.04394|PPL
FR|32|59|595|Wattiessart|50.53241|3.03132|PPL
FR|32|62|625|Watterdal|50.68789|2.01284|PPL
FR|32|59|594|Watten|50.83685|2.21346|PPL
FR|32|80|801|Wattebléry|49.9489|1.6577|PPL
FR|44|55|553|Watronville|49.13739|5.54234|PPL
FR|32|02|025|Watigny|49.89945|4.19985|PPL
FR|32|80|801|Wathiéhurt|50.17244|1.55358|PPL
FR|44|52|523|Wassy|48.49811|4.94775|PPL
FR|32|02|025|Wassigny|50.01334|3.59988|PPL
FR|44|68|682|Wasserbourg|48.00011|7.15501|PPL
FR|44|67|673|Wasselonne|48.63723|7.44731|PPL
FR|32|59|595|Wasquehal|50.67043|3.13382|PPL
FR|32|59|596|Wasnes-au-Bac|50.27104|3.26012|PPL
FR|44|08|082|Wasigny|49.6334|4.35642|PPL
FR|32|80|803|Warvillers|49.7808|2.68637|PPL
FR|32|80|803|Warsy|49.69904|2.64868|PPL
FR|32|62|625|Warnecque|50.63582|2.12225|PPL
FR|44|08|081|Warnécourt|49.73208|4.65374|PPL
FR|32|62|625|Warne|50.66103|2.35069|PPL
FR|44|51|513|Warmeriville|49.35227|4.21882|PPL
FR|32|62|621|Warluzel|50.22783|2.46858|PPL
FR|32|62|621|Warlus|50.27482|2.66872|PPL
FR|32|80|802|Warlus|49.92437|1.94413|PPL
FR|32|60|601|Warluis|49.38874|2.1422|PPL
FR|32|80|802|Warloy-Baillon|50.0101|2.52184|PPL
FR|32|62|621|Warlincourt-lès-Pas|50.17512|2.50457|PPL
FR|32|62|625|Warlez|50.74959|1.99162|PPL
FR|32|62|621|Warlencourt-Eaucourt|50.08276|2.79117|PPL
FR|32|59|593|Warlaing|50.40999|3.3252|PPL
FR|32|62|623|Warincthun|50.85016|1.63582|PPL
FR|32|59|594|Warhem|50.97592|2.49303|PPL
FR|32|59|591|Wargnies-le-Petit|50.29335|3.67339|PPL
FR|32|59|591|Wargnies-le-Grand|50.30751|3.66038|PPL
FR|32|80|802|Wargnies|50.03498|2.25908|PPL
FR|44|51|515|Wargemoulin-Hurlus|49.1555|4.69892|PPL
FR|32|80|802|Warfusée-Abancourt|49.87196|2.59089|PPL
FR|32|59|593|Warendin|50.41937|3.11376|PPL
FR|32|62|625|Wardrecques|50.71108|2.34483|PPL
FR|44|08|081|Warcq|49.77517|4.68175|PPL
